Jahr;Geburten;Stoerche
1960;171665;191
1962;180224;210
1965;180739;186
1966;181559;189
1967;176362;157
1968;168403;141
1971;137465;120
1972;125110;115
1973;114658;100
1974;114060;105
1975;108544;100
1976;108995;100
1977;106633;103
1978;106145;107
1979;107667;104
1980;114451;104
1981;117063;107
1982;116576;82
1983;112644;90
1984;111183;69
1985;111365;70
1986;118439;69
1987;119623;64
1988;126409;60
1989;127029;77
1990;136122;80
1991;134400;64
1992;133946;75
1993;133897;94
1994;127828;110
1995;125995;113
1996;129376;123
1997;130517;93
1998;126529;124
1999;123244;118
2000;120765;126
